Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,bird_degree,visits.x.degree,bird_degree 2,visits.x.degree 2,PD
05PF1,CapBac,4,16,4,1.2130075659799,Intra,145,8,1.5252098981804,3,3,1.0986122886681,24,0.1666666667,,503.84615385,,,70.437692308,20,1,1,14,3,0.9556998911,13.0,30,52,120,0
05PF1,CapBac&CasDec,6,15,6,1.5821699429253,Hetero.diff,109,6,1.0292166472367,0,0,0,12,0.5,,176.33333333,,,24.6514,42,3,2,15,6,1.5821699429,20.2,30.333333333,121,182,0.270719892
05PF1,CapBac&CasSyl,5,6,5,1.5607104090414,Hetero.diff,78,9,1.7455993747628,2,7,0.4101163182884,12,0.4166666667,,248.18181818,100,,36.555818182,50,3,2,6,5,1.560710409,21.6,21.6,108,108,0.267733558
05PF1,CapBac&CelIgu,3,8,3,0.9002560512685,Hetero.diff,233,16,1.9640960336434,0,0,0,12,0.25,,413.84615385,,,57.855692308,60,3,2,6,2,0.4505612089,12.3,18.666666667,37,56,0.265064061
05PF1,CapBac&TreMic,9,17,9,2.0685134973595,Hetero.diff,171,13,1.8935830228579,1,1,0,12,0.75,,453.57142857,,343.07692308,70.728260073,17,3,2,15,8,1.9338099989,20.8,35,187,315,0.2643121
05PF1,CasDec,3,3,3,1.0986122886681,Intra,34,5,1.4120711946584,0,0,0,24,0.125,,,,,0,80,1,1,2,2,0.6931471806,13.0,13,39,39,0
05PF1,CasDec&CasSyl,3,4,3,1.0397207708399,Hetero.same,31,4,0.7499625679061,0,0,0,12,0.25,,,,,0,80,2,2,1,1,0,0.3,0.6666666667,1,2,0.141899453
05PF1,CasDec&CelIgu,3,4,3,1.0397207708399,Hetero.diff,0,0,0,1,1,0,12,0.25,,,,,0,40,3,2,3,2,0.6365141683,4.3,7.6666666667,13,23,0.244484426
05PF1,CasDec&TreMic,8,15,8,1.991346413411,Hetero.diff,178,9,1.3867721894055,1,3,0,12,0.6666666667,,,,434.61538462,9.2717948718,25,3,2,14,7,1.8711604142,21.1,25.625,169,205,0.243732464
05PF1,CasSyl,4,14,4,1.3337360272028,Intra,71,4,1.1497681657709,0,0,0,24,0.1666666667,,,,,0,70,1,1,7,2,0.6829081047,6.0,15,24,60,0
