Site,Treatment,Plant Species,phylo_dist,Label,Data
3SS,AcnArbCapBac,CapBac,35.1,ant,0
3SS,AcnArbCapBac,CapBac,35.1,herbivore,0
3SS,AcnArbCapBac,CapBac,35.1,phloem_feeder,3
3SS,AcnArbCapBac,CapBac,35.1,pollinator,0
3SS,AcnArbCapBac,CapBac,35.1,predator,0
3SS,AcnArbCasDec,AcnArb,247.5,ant,0
3SS,AcnArbCasDec,AcnArb,247.5,herbivore,0
3SS,AcnArbCasDec,AcnArb,247.5,phloem_feeder,1
3SS,AcnArbCasDec,AcnArb,247.5,pollinator,1
3SS,AcnArbCasDec,AcnArb,247.5,predator,0
3SS,AcnArbCasSyl,AcnArb,247.5,ant,0
3SS,AcnArbCasSyl,AcnArb,247.5,herbivore,1
3SS,AcnArbCasSyl,AcnArb,247.5,phloem_feeder,0
3SS,AcnArbCasSyl,AcnArb,247.5,pollinator,0
3SS,AcnArbCasSyl,AcnArb,247.5,predator,0
3SS,AcnArbCelIgu,CelIgu,247.5,ant,0
3SS,AcnArbCelIgu,CelIgu,247.5,herbivore,0
3SS,AcnArbCelIgu,CelIgu,247.5,phloem_feeder,0
3SS,AcnArbCelIgu,CelIgu,247.5,pollinator,0
3SS,AcnArbCelIgu,CelIgu,247.5,predator,1
3SS,AcnArbTreMic,AcnArb,247.5,ant,1
3SS,AcnArbTreMic,AcnArb,247.5,herbivore,1
3SS,AcnArbTreMic,AcnArb,247.5,phloem_feeder,3
3SS,AcnArbTreMic,AcnArb,247.5,pollinator,0
3SS,AcnArbTreMic,AcnArb,247.5,predator,0
3SS,All,CapBac,460.6,ant,1
3SS,All,CapBac,460.6,herbivore,1
3SS,All,CapBac,460.6,phloem_feeder,0
3SS,All,CapBac,460.6,pollinator,0
3SS,All,CapBac,460.6,predator,0
3SS,All,CasDec,460.6,ant,1
3SS,All,CasDec,460.6,herbivore,0
3SS,All,CasDec,460.6,phloem_feeder,0
3SS,All,CasDec,460.6,pollinator,0
3SS,All,CasDec,460.6,predator,0
3SS,All,CasSyl,460.6,ant,0
3SS,All,CasSyl,460.6,herbivore,1
3SS,All,CasSyl,460.6,phloem_feeder,1
3SS,All,CasSyl,460.6,pollinator,0
3SS,All,CasSyl,460.6,predator,0
3SS,All,TreMic,460.6,ant,1
3SS,All,TreMic,460.6,herbivore,0
3SS,All,TreMic,460.6,phloem_feeder,2
3SS,All,TreMic,460.6,pollinator,0
3SS,All,TreMic,460.6,predator,0
3SS,CapBac,CapBac,0,ant,0
3SS,CapBac,CapBac,0,herbivore,1
