site,Treatment,plant_sp,plant_id,Treat2,branching,avg.dbh.mm
05PF1,AcnArb&TreMic,Trema_micrantha,TreMic48v,Hetero.diff,1,1544.034163
05PF1,All,Acnistus_arborescens,AcnArb74a,Hetero.All,4,1178.056742
05PF1,All,Acnistus_arborescens,AcnArb75a,Hetero.All,2,1764.895286
05PF1,All,Acnistus_arborescens,AcnArb76a,Hetero.All,2,2675.574414
05PF1,All,Acnistus_arborescens,AcnArb77a,Hetero.All,1,4006.383776
05PF1,All,Capsicum_baccatum,CapBac55a,Hetero.All,1,1314.440424
05PF1,All,Capsicum_baccatum,CapBac56a,Hetero.All,1,1200.729799
05PF1,All,Capsicum_baccatum,CapBac57a,Hetero.All,1,3327.859999
05PF1,All,Casearia_decandra,CasDec72a,Hetero.All,1,362.86625
05PF1,All,Casearia_decandra,CasDec73a,Hetero.All,1,78.5
05PF1,All,Casearia_decandra,CasDec74a,Hetero.All,1,219.978666
05PF1,All,Casearia_decandra,CasDec75a,Hetero.All,1,349.8211985
